Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Battaglini, PP; Naranjo, JR; Brovelli, A; ","EEG study of the frontoparietal cortical network during reaching movements. FENS Abstract, vol. 1, A074. 01, 2002",,,,,2002,
"Battaglia, Demian; Brovelli, Andrea; ",Functional connectivity and neuronal dynamics: insights from computational methods,"The Cognitive Neurosciences, Sixth Edition",,,,2020,"The MIT Press. Edited by David Poeppel (Editor), George R. Mangun (Editor …"
"Basanisi, Ruggero; Brovelli, Andrea; Cartoni, Emilio; Baldassarre, Gianluca; ",A generative spiking neural-network model of goal-directed behaviour and one-step planning,PLoS Comput Biol,16,12,,2020,
"Combrisson, Etienne; Nest, Timothy; Brovelli, Andrea; Ince, Robin; Soto, Juan; Guillot, Aymeric; Jerbi, Karim; ",Tensorpac: an open-source Python toolbox for tensor-based Phase-Amplitude Coupling measurement in electrophysiological brain signals,PLoS Comput Biol,16,10,,2020,
"Combrisson, Etienne; Allegra, Michele; Basanisi, Ruggero; Ince, Robin AA; Giordano, Bruno L; Bastin, Julien; Brovelli, Andrea; ",Group-level inference of information-based measures for the analyses of cognitive brain networks from neurophysiological data,NeuroImage,258,,119347,2022,Academic Press
"Bím, Jan; De Feo, Vito; Chicharro, Daniel; Bieler, Malte; Hanganu-Opatz, Ileana L; Brovelli, Andrea; Panzeri, Stefano; ",A Non-negative Measure Of Feature-Related Information Transfer Between Neural Signals,bioRxiv,,,758128,2020,Cold Spring Harbor Laboratory
"Voutsa, Venetia; Battaglia, Demian; Bracken, Louise J; Brovelli, Andrea; Costescu, Julia; Diaz Munoz, Mario; Fath, Brian D; Funk, Andrea; Guirro, Mel; Hein, Thomas; ",Two classes of functional connectivity in dynamical processes in networks,Journal of the Royal Society Interface,18,183,20210486,2021,The Royal Society
"Allegra, Michele; Favaretto, Chiara; Metcalf, Nicholas; Corbetta, Maurizio; Brovelli, Andrea; ",Stroke-related alterations in inter-areal communication,NeuroImage: Clinical,32,,102812,2021,
"Amunts, Katrin; Rowald, Andreas; Petkoski, Spase; Sanchez-Vives, Maria V; Axer, Markus; De Bonis, Giulia; Pennartz, Cyriel; Bjaalie, Jan; Brovelli, Andrea; Fousek, Jan; ",The coming decade of digital brain research-A vision for neuroscience at the intersection of technology and computing,,,,,2022,Computational and Systems Neuroscience
"Voges, Nicole; Hausmann, Johannes; Brovelli, Andrea; Battaglia, Demian; ",Decomposing neural circuit function into information processing primitives,bioRxiv,,,2022.08. 04.502783,2022,Cold Spring Harbor Laboratory
"Favaretto, Chiara; Allegra, Michele; Deco, Gustavo; Metcalf, Nicholas V; Griffis, Joseph C; Shulman, Gordon L; Brovelli, Andrea; Corbetta, Maurizio; ",Subcortical-cortical dynamical states of the human brain and their breakdown in stroke,Nature communications,13,1,5069,2022,Nature Publishing Group UK London
"Combrisson, Etienne; Basanisi, Ruggero; Cordeiro, Vinicius Lima; Ince, Robin AA; Brovelli, Andrea; ",Frites: A Python package for functional connectivity analysis and group-level statistics of neurophysiological data,Journal of Open Source Software,7,79,3842,2022,
"Zielinski, Christelle; Chanoine, Valérie; Auzias, Guillaume; Coulon, Olivier; Brovelli, Andrea; ","HGA-MarsAtlas: a toolbox for the estimate of high-resolution, single-trial source-level high-gamma activity from MEG data",Journées de l’ILCB/BLRI,,,,2019,
"BROVELLI, A; LONGO, RENATA; BUDAI, R; KRISTEVA, R; BATTAGLINI, PIERO PAOLO; ",EEG dynamics of the frontoparietal network during reaching preparation in humans,,,,,2007,
"Basanisi, R; Marche, K; Combrisson, E; Apicella, P; Brovelli, A; ",Beta oscillations in monkey striatum encode reward prediction error signals,Journal of Neuroscience,,,,2023,Society for Neuroscience
